chasc05,Canada APIM Gateway,Layer 7 Technologies,mogol01
GANRA10,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05
sulch02,GIS R&D Tools US,BSG US People Team 1,cardo12
kalni03,US SaaS Hosting,Arcot,janga01
ganra10,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05
gudka01,Runscope Ind Dev,Arcot,kadki01
gudka01,Runscope Ind Dev,Arcot,kadki01
akkji01,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05
Gudka01,Runscope Ind Dev,Arcot,kadki01
korzd01,CZ Rep App Perf Mgmt,PTC APM EM1,janma07
zheji01,US App Perf Mgmt Dev,Wily Engineering,krian04
keyja01,CZ Rep App Perf Mgmt,Application Management QA,lopal05
maner03,US App Perf Mgmt Dev,IAM Dev Management,kanba02
myspe01,CZ Rep App Perf Mgmt,PTC APM EM2,pojja01
nezra01,CZ Rep App Perf Mgmt,PTC APM,janma07
sagra02,MF App Develop,ITC Mainframe Chorus Dev,intma01
ambba01,ITC ISA Horizontal S,US Systems Engineering,mamsr01
lahra03,NBI India eCommerce,Arcot � COI,ganbo01
ahmni01,ITC Solut Engineer,ITC Service Provider Engineering,subsa01,
josan07,NBI India eCommerce,Arcot,velsu04,
asahi02,Canada APIM Gateway,Layer 7 Technologies,chish06,
sunka04,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05,
rajno01,IN2 ITBM PPM Dev,BSO India ITC Development,kamkr01,
bacsi02,IN2 ITC SaaS Hosting,India ITC Security,ragsr01,
vogda04,Solution Engine US,US Service Provider Engineering,dwyst01,
ranch11,IN2 ITC SaaS Hosting,India ITC Security,sriva01,
shara16,IN4 SaaS Hosting,India ITC Security,sriva01,
wuvga01,Canada APIM Gateway,Layer 7 Technologies,leean11,
garju09,US App Perf Mgmt Dev,Chairman,karve04,
djiba01,US SaaS Hosting,Global Services,kimmi07,
leeyo12,MF IT Management,BS Resource,carju01,
reito01,US Id Mgr Dev,Identity Manager Sustaining Eng,doncl03,
chapr06,IN2 ITBM OP SMDev,India ITC CTO Engineering,chaba07,
zelge01,Security Analytics,Xceedium, Inc.,dewja03,
giana01,NBI US eComm Risk,ecoSoftware,sousr01,
orlde01,Canada APIM Gateway,Layer 7 Technologies,chish06,
kribe01,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05,
choch15,Canada APIM Gateway,Layer 7 Technologies,zhuqi02,
qinzu01,US IM Core Developme,GRC Engineering Svcs,murjo16,
jetve01,ITC Autom IN WLA 2,Component and Solution Engineering,parkr02,
mohba04,NBI India eCommerce,Arcot,ganbo01,
kelda16,MF IT Management,Concord R&D,norst02,
boech02,MF IT Management,Concord R&D,norst02,
ackma02,MF IT Management,MF Business Unit,stoda04,
eatja02,Autom US WLA 2,India ITC CTO Engineering,ragdi01,
ellke05,MF IT Management,CA Products VM/VSE,giero01,
shear01,NBI India eCommerce,Arcot,ganbo01,
thoca11,Canada ASE Program,Layer 7 Technologies,katbr03,
kassa08,Canada APIM Gateway,Layer 7 Technologies,katbr03,
bccbh01,ITC Autom IN WLA 2,Component and Solution Engineering,parkr02,
natco02,MF IT Management,NA Mainframe ICS QA,gulga01,
whach01,US6 Eng Sys,Systems Engineering,bolri01,
chajo19,US SaaS Hosting,Arcot,janga01,
sagra01,Solution Engine US,SM Service Level Management,dwyst01,
yafna01,MF IT Management,MFaaS Prague Unit 1,supmi01,
wadvi02,NBI India eCommerce,Arcot,kalsa09,
sahta01,NBI India eCommerce,Arcot,ramja12,
bisma06,NBI India eCommerce,Arcot,ramja12,
skopa01,CZ Rep App Perf Mgmt,PTC APM EM2,pojja01,
benro02,MF IT Management,NA Mainframe ICS QA,natco02,
fisjo04,MF IT Management,Mainframe Resource Management,wasch01,
kruba02,CPO US Analytics,Technology and Development,petsi02,
prezi01,MF IT Management,MFaaS and MPH Prague,webmi04,
dewja03,Security Analytics,Xceedium, Inc.,mcgma18,
papgo01,IN2 ITBM PPM Dev,BSO India ITC Development,kamkr01,
vlcka01,CZ Rep AD Dev.,Nolio,walja21,
china08,ITC Autom IN WLA 2,India ITC CTO Engineering,khago01,
mohsa16,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05,
tirsr04,IN2 ITC App Perf Mgm,India ITC CTO Engineering,swasa02,
mckaa01,couldn't find,couldn't find,couldn't find
raisa03,NBI India eCommerce,Arcot,velsu04
podja02,MF IT Management,CZ PTC MF Mid,mwaji01
eagro02,US AD Development,iTKO,surla03
swach02,couldn't find,couldn't find,couldn't find
devjo01,Solution Engine US,US Systems Engineering,lewal04
nanba03,NBI India eCommerce,Arcot,bossa02
talsh07,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05
haemi01,US Support PMO,Transformation,jasus01
mohab11,IN2 ITBM OP SMDev,India ITC CTO Engineering,chaba07
sirra02,IN2 PRIME Clarity,ITC Engineering Tools,b$$gi01
sinsa09,IN2 ITC Iden Mgm Dev,India ITC Security,matsu04
allje05,MF IT Management,NA Mainframe Chorus Dev,gujsa02
shasr03,MF App Develop,ITC Mainframe Chorus R&D,vemkr01
gousa01,MF App Develop,CA Products Gen Development,chera14
nidve01,Incubation Bench,CTO,agaan08
oveon01,MF IT Management,Mainframe Eng,petja04
malan11,IN2 UIM Development,Nimsoft Development,bhara20
repji01,MF IT Management,CZ PTC MF Mid,mccvi01
sharo23,IN2 ITC Iden Mgm Dev,India ITC Security,prash05
batvi03,IN2 UIM Development,Process Automation Engineering,ganba02
gupas05,ITC Solut Engineer,India ITC Security,kammu02
bhabh02,IN2 ITC PIM Dev,Host Access Control Sustaining Eng,gansr10
chich18,IN2 PRIME Clarity,ITC Engineering Tools,sirra02
galpe02,MF IT Management,MFaaS Prague Unit 1,supmi01
sheat01,NBI India eCommerce,Arcot,ramja12
qadba01,couldn't find,couldn't find,plape03
ramja12,NBI India eCommerce,Arcot,ganbo01
bandi01,IN2 ITC Iden Mgm Dev,India ITC Security,prash05
salvi02,NBI India eCommerce,Chairman,ganbo01
chibo01,ITC Autom IN WLA 2,India ITC CTO Engineering,khago01
sidha02,IN2 GIS R&D Tools,BSG ITC People Team 6,sinvi05
mcgke03,GIS R&D Tools US,Tools Solutions,morch19
sansr04,couldn't find,couldn't find,couldn't find
kumsh12,NBI India eCommerce,Arcot,velsu04
iijku01,Japan Dev Ops,SM IT Asset Manager,b$$gi01
chada19,IN2 UIM Prod Mgmt,Process Automation Engineering,thora05
bogan01,IN2 UIM Development,Process Automation Engineering,thora05
sanra19,IN2 ITBM PPM Dev,BSO India ITC Development,kamkr01
troni02,Grid Tools UK R&D,UKM DB2 Tools Dev,baych01
sinsa26,ITC Secure Cloud,India ITC Security,kunka02
kamvi07,IN2 ITC IM Core Deve,India ITC ESM,chumu01
lehmi01,US App Perf Mgmt Dev,Wily G&A,kriva03
kurma05,US App Perf Mgmt Dev,Wily Engineering,krian04
ghhsi01,IN2 ITC App Perf Mgm,Wily G&A,konpr04
rsssa02,IN2 ITBM PPM Dev,BSO Niku Clarity,kamna01
kasni02,Solution Engine US,Chairman,bamye01
joest01,US Info Engine,Technical Pubs,staam02
skomi04,CZ Rep App Perf Mgmt,PTC APM EM1,korzd01
haiva01,CZ Rep App Perf Mgmt,Application Management QA,keyja01
mitan10,IN2 UIM Prod Mgmt,India ITC CTO Engineering,swasa02
bhapa04,US App Perf Mgmt Dev,Wily Engineering,krian04
sinka08,US App Perf Mgmt Dev,Wily Engineering,krian04
huaji12,US App Perf Mgmt Dev,Wily Engineering,krian04
banra06,US App Perf Mgmt Dev,IAM Dev Management,kanba02
turmi05,Grid Tools UK R&D,UKM DB2 Tools Dev,warst03
kalvi02,IN2 ITC App Perf Mgm,India ITC CTO Engineering,swasa02
akujo01,couldn't find,couldn't find,couldn't find
bassa07,couldn't find,couldn't find,couldn't find
sommi01,Grid Tools UK R&D,UKM DB2 Tools Dev,warst03
tuusu01,IN2 ITC App Perf Mgm,Wily Engineering,palra05
mahsr01,IN2 ITC App Perf Mgm,India ITC CTO Engineering,swasa02
kriva03,US App Perf Mgmt Dev,Wily G&A,desma12
nargu01,IN2 Ops Localization,India ITC CTO Engineering,bansr02
thani03,US App Perf Mgmt Dev,Chairman,karve04
manbi03,MF App Develop,Workload Automation Dist Dev &,rajap01
ravra03,MF App Develop,SM Software Change Manager,kolla01
lamgi04,MF Site Strategy PTC,CZ PTC MF,demev01
garma20,MF App Develop,MFBU Dist Misc,puiro01werke03,Info not in AD,Info not in AD,Info not in AD
werke03,Info not in AD,Info not in AD,Info not in AD
